"","A","B","C","D","E","F","G","H","J","K","L","M"
"44","8","9","10","11","1","2","3","4","5","6","7","2"
"45","8","5","2","10","7","4","1","9","6","3","11","9"
"46","10","7","4","1","9","6","3","11","8","5","2","9"
"47","6","9","1","4","7","10","2","5","8","11","3","4"
"48","11","6","1","7","2","8","3","9","4","10","5","7"
"49","3","4","5","6","7","8","9","10","11","1","2","2"
"50","1","6","11","5","10","4","9","3","8","2","7","6"
"51","4","10","5","11","6","1","7","2","8","3","9","7"
"52","6","8","10","1","3","5","7","9","11","2","4","3"
"53","9","3","8","2","7","1","6","11","5","10","4","6"
"54","4","1","9","6","3","11","8","5","2","10","7","9"
"55","7","8","9","10","11","1","2","3","4","5","6","2"
"56","9","6","3","11","8","5","2","10","7","4","1","9"
"57","10","6","2","9","5","1","8","4","11","7","3","8"
"58","11","4","8","1","5","9","2","6","10","3","7","5"
"59","9","7","5","3","1","10","8","6","4","2","11","10"
"60","10","11","1","2","3","4","5","6","7","8","9","2"
"61","9","10","11","1","2","3","4","5","6","7","8","2"
"62","7","6","5","4","3","2","1","11","10","9","8","11"
"63","1","8","4","11","7","3","10","6","2","9","5","8"
"64","8","1","5","9","2","6","10","3","7","11","4","5"
"65","8","10","1","3","5","7","9","11","2","4","6","3"
"66","7","2","8","3","9","4","10","5","11","6","1","7"
"67","8","6","4","2","11","9","7","5","3","1","10","10"
"68","2","10","7","4","1","9","6","3","11","8","5","9"
"69","10","9","8","7","6","5","4","3","2","1","11","11"
"70","2","4","6","8","10","1","3","5","7","9","11","3"
"71","3","3","3","3","3","3","3","3","3","3","3","1"
"72","5","9","2","6","10","3","7","11","4","8","1","5"
"73","3","10","6","2","9","5","1","8","4","11","7","8"
"74","4","6","8","10","1","3","5","7","9","11","2","3"
"75","5","6","7","8","9","10","11","1","2","3","4","2"
"76","11","10","9","8","7","6","5","4","3","2","1","11"
"77","9","5","1","8","4","11","7","3","10","6","2","8"
"78","3","2","1","11","10","9","8","7","6","5","4","11"
"79","5","10","4","9","3","8","2","7","1","6","11","6"
"80","4","8","1","5","9","2","6","10","3","7","11","5"
"81","2","8","3","9","4","10","5","11","6","1","7","7"
"82","10","3","7","11","4","8","1","5","9","2","6","5"
"83","7","10","2","5","8","11","3","6","9","1","4","4"
"84","11","5","10","4","9","3","8","2","7","1","6","6"
"85","5","2","10","7","4","1","9","6","3","11","8","9"
"86","2","9","5","1","8","4","11","7","3","10","6","8"
"87","8","3","9","4","10","5","11","6","1","7","2","7"
"88","4","5","6","7","8","9","10","11","1","2","3","2"
"89","11","11","11","11","11","11","11","11","11","11","11","1"
"90","5","7","9","11","2","4","6","8","10","1","3","3"
"91","6","7","8","9","10","11","1","2","3","4","5","2"
"92","1","10","8","6","4","2","11","9","7","5","3","10"
"93","6","5","4","3","2","1","11","10","9","8","7","11"
"94","3","1","10","8","6","4","2","11","9","7","5","10"
"95","10","5","11","6","1","7","2","8","3","9","4","7"
"96","6","6","6","6","6","6","6","6","6","6","6","1"
"97","9","4","10","5","11","6","1","7","2","8","3","7"
"98","7","3","10","6","2","9","5","1","8","4","11","8"
"99","2","5","8","11","3","6","9","1","4","7","10","4"
"100","2","1","11","10","9","8","7","6","5","4","3","11"
"101","3","5","7","9","11","2","4","6","8","10","1","3"
"102","7","9","11","2","4","6","8","10","1","3","5","3"
"103","3","9","4","10","5","11","6","1","7","2","8","7"
"104","4","3","2","1","11","10","9","8","7","6","5","11"
"105","6","1","7","2","8","3","9","4","10","5","11","7"
"106","4","11","7","3","10","6","2","9","5","1","8","8"
"107","8","4","11","7","3","10","6","2","9","5","1","8"
"108","11","8","5","2","10","7","4","1","9","6","3","9"
"109","2","3","4","5","6","7","8","9","10","11","1","2"
"110","5","8","11","3","6","9","1","4","7","10","2","4"
"111","6","10","3","7","11","4","8","1","5","9","2","5"
"112","11","1","2","3","4","5","6","7","8","9","10","2"
"113","5","3","1","10","8","6","4","2","11","9","7","10"
"114","2","11","9","7","5","3","1","10","8","6","4","10"
"115","9","2","6","10","3","7","11","4","8","1","5","5"
"116","5","5","5","5","5","5","5","5","5","5","5","1"
"117","6","3","11","8","5","2","10","7","4","1","9","9"
"118","3","8","2","7","1","6","11","5","10","4","9","6"
"119","1","7","2","8","3","9","4","10","5","11","6","7"
"120","1","5","9","2","6","10","3","7","11","4","8","5"
"121","11","3","6","9","1","4","7","10","2","5","8","4"
