"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"36","6","2","6","2","5","1","5","1","7","3","7","3","8","4","8","4","5"
"37","8","4","8","4","7","3","7","3","5","1","5","1","6","2","6","2","5"
"38","6","6","5","5","7","7","8","8","3","3","4","4","2","2","1","1","9"
"39","3","5","8","2","1","7","6","4","8","2","3","5","6","4","1","7","15"
"40","1","7","5","3","2","8","6","4","3","5","7","1","4","6","8","2","7"
"41","4","1","5","8","5","8","4","1","6","7","3","2","3","2","6","7","12"
"42","4","6","8","2","3","5","7","1","2","8","6","4","1","7","5","3","7"
"43","8","4","7","3","6","2","5","1","4","8","3","7","2","6","1","5","13"
"44","2","2","1","1","3","3","4","4","7","7","8","8","6","6","5","5","9"
"45","7","8","5","6","3","4","1","2","7","8","5","6","3","4","1","2","2"
"46","3","4","2","1","6","5","7","8","6","5","7","8","3","4","2","1","10"
"47","3","5","7","1","4","6","8","2","1","7","5","3","2","8","6","4","7"
"48","1","4","7","6","5","8","3","2","2","3","8","5","6","7","4","1","4"
"49","7","6","1","4","3","2","5","8","8","5","2","3","4","1","6","7","4"
"50","8","5","2","3","4","1","6","7","7","6","1","4","3","2","5","8","4"
"51","3","2","6","7","6","7","3","2","5","8","4","1","4","1","5","8","12"
"52","7","7","8","8","6","6","5","5","2","2","1","1","3","3","4","4","9"
"53","2","1","4","3","6","5","8","7","2","1","4","3","6","5","8","7","2"
"54","5","6","7","8","1","2","3","4","5","6","7","8","1","2","3","4","2"
"55","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","1"
"56","2","7","8","1","5","4","3","6","4","5","6","3","7","2","1","8","8"
"57","7","1","4","6","5","3","2","8","4","6","7","1","2","8","5","3","15"
"58","7","4","5","2","4","7","2","5","6","1","8","3","1","6","3","8","6"
"59","5","2","8","3","3","8","2","5","1","6","4","7","7","4","6","1","14"
"60","3","3","4","4","2","2","1","1","6","6","5","5","7","7","8","8","9"
"61","6","8","2","4","6","8","2","4","5","7","1","3","5","7","1","3","3"
"62","5","1","6","2","7","3","8","4","1","5","2","6","3","7","4","8","13"
"63","6","1","8","3","1","6","3","8","7","4","5","2","4","7","2","5","6"
"64","4","8","3","7","2","6","1","5","8","4","7","3","6","2","5","1","13"
"65","3","7","3","7","4","8","4","8","2","6","2","6","1","5","1","5","5"
"66","3","1","8","6","2","4","5","7","5","7","2","4","8","6","3","1","11"
"67","5","7","1","3","5","7","1","3","6","8","2","4","6","8","2","4","3"
"68","3","6","6","3","5","4","4","5","8","1","1","8","2","7","7","2","16"
"69","1","2","4","3","8","7","5","6","8","7","5","6","1","2","4","3","10"
"70","2","6","1","5","4","8","3","7","6","2","5","1","8","4","7","3","13"
"71","2","3","8","5","6","7","4","1","1","4","7","6","5","8","3","2","4"
"72","4","5","6","3","7","2","1","8","2","7","8","1","5","4","3","6","8"
"73","2","5","3","8","8","3","5","2","6","1","7","4","4","7","1","6","14"
"74","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"75","2","8","6","4","1","7","5","3","4","6","8","2","3","5","7","1","7"
"76","2","4","5","7","3","1","8","6","8","6","3","1","5","7","2","4","11"
"77","6","3","4","5","1","8","7","2","8","1","2","7","3","6","5","4","8"
"78","6","3","3","6","4","5","5","4","1","8","8","1","7","2","2","7","16"
"79","3","8","1","6","8","3","6","1","2","5","4","7","5","2","7","4","6"
"80","1","3","6","8","4","2","7","5","7","5","4","2","6","8","1","3","11"
"81","7","3","8","4","5","1","6","2","3","7","4","8","1","5","2","6","13"
"82","7","4","6","1","1","6","4","7","3","8","2","5","5","2","8","3","14"
"83","1","1","2","2","4","4","3","3","8","8","7","7","5","5","6","6","9"
"84","2","1","3","4","7","8","6","5","7","8","6","5","2","1","3","4","10"
"85","1","5","1","5","2","6","2","6","4","8","4","8","3","7","3","7","5"
"86","1","6","3","8","6","1","8","3","4","7","2","5","7","4","5","2","6"
"87","5","3","1","7","6","4","2","8","7","1","3","5","8","2","4","6","7"
"88","3","8","2","5","5","2","8","3","7","4","6","1","1","6","4","7","14"
"89","8","5","1","4","1","4","8","5","2","3","7","6","7","6","2","3","12"
"90","7","2","2","7","1","8","8","1","4","5","5","4","6","3","3","6","16"
"91","2","5","4","7","5","2","7","4","3","8","1","6","8","3","6","1","6"
"92","1","6","4","7","7","4","6","1","5","2","8","3","3","8","2","5","14"
"93","1","3","5","7","1","3","5","7","2","4","6","8","2","4","6","8","3"
"94","4","3","1","2","5","6","8","7","5","6","8","7","4","3","1","2","10"
"95","3","4","1","2","7","8","5","6","3","4","1","2","7","8","5","6","2"
"96","4","6","7","1","2","8","5","3","7","1","4","6","5","3","2","8","15"
"97","5","3","2","8","7","1","4","6","2","8","5","3","4","6","7","1","15"
"98","8","2","4","6","7","1","3","5","6","4","2","8","5","3","1","7","7"
"99","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1"
"100","7","5","4","2","6","8","1","3","1","3","6","8","4","2","7","5","11"
"101","2","7","7","2","8","1","1","8","5","4","4","5","3","6","6","3","16"
"102","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1"
"103","5","4","3","6","2","7","8","1","7","2","1","8","4","5","6","3","8"
"104","7","1","3","5","8","2","4","6","5","3","1","7","6","4","2","8","7"
"105","4","7","1","6","6","1","7","4","8","3","5","2","2","5","3","8","14"
"106","5","6","8","7","4","3","1","2","4","3","1","2","5","6","8","7","10"
"107","5","4","4","5","3","6","6","3","2","7","7","2","8","1","1","8","16"
"108","6","7","3","2","3","2","6","7","4","1","5","8","5","8","4","1","12"
"109","7","2","1","8","4","5","6","3","5","4","3","6","2","7","8","1","8"
"110","1","8","7","2","6","3","4","5","3","6","5","4","8","1","2","7","8"
"111","6","2","5","1","8","4","7","3","2","6","1","5","4","8","3","7","13"
"112","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"113","3","7","4","8","1","5","2","6","7","3","8","4","5","1","6","2","13"
"114","8","6","3","1","5","7","2","4","2","4","5","7","3","1","8","6","11"
"115","8","2","3","5","6","4","1","7","3","5","8","2","1","7","6","4","15"
"116","6","4","1","7","8","2","3","5","1","7","6","4","3","5","8","2","15"
"117","1","5","2","6","3","7","4","8","5","1","6","2","7","3","8","4","13"
"118","7","3","7","3","8","4","8","4","6","2","6","2","5","1","5","1","5"
"119","8","1","1","8","2","7","7","2","3","6","6","3","5","4","4","5","16"
"120","3","1","7","5","3","1","7","5","4","2","8","6","4","2","8","6","3"
"121","5","1","5","1","6","2","6","2","8","4","8","4","7","3","7","3","5"
"122","4","4","3","3","1","1","2","2","5","5","6","6","8","8","7","7","9"
"123","2","6","2","6","1","5","1","5","3","7","3","7","4","8","4","8","5"
"124","6","4","2","8","5","3","1","7","8","2","4","6","7","1","3","5","7"
"125","5","2","7","4","2","5","4","7","8","3","6","1","3","8","1","6","6"
"126","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","1"
"127","5","5","6","6","8","8","7","7","4","4","3","3","1","1","2","2","9"
"128","4","8","4","8","3","7","3","7","1","5","1","5","2","6","2","6","5"
